Id,Label,Type, latidude, longitude,Latitude,Longitude
246,PR 469,Rodovia,-22.4224857,-45.4568207
247,SC 469,Rodovia,-26.8084339,-53.0320996
248,RS 471,Rodovia,-30.0255752,-51.2025407
249,PA 308,Rodovia,-1.3252332,-48.4294541
250,MG 364,Rodovia,-21.2530871,-46.1437541
251,RJ 364,Rodovia,-22.9101245,-43.0801265
252,BA 135,Rodovia,-12.3584049,-44.9768482
253,BA 367,Rodovia,-18.0015488,-39.8685999
254,MG 367,Rodovia,-22.247708,-45.4610851
255,BA 420,Rodovia,-12.73597,-38.929474
256,TO NA,Rodovia,-28.8487335,-55.2101614
257,AL NA,Rodovia,-9.3552454,-37.9862465
258,RJ 354,Rodovia,-21.7502938,-41.3479199
259,ES 447,Rodovia,-20.3481841,-40.4089191
260,RJ 447,Rodovia,-22.8783103,-43.2321185
261,MG 447,Rodovia,-21.0089864,-42.8191213
262,RR 230,Rodovia,-14.3397694,-42.6955426
263,PI 407,Rodovia,-22.8624877,-46.9744016
264,MA 407,Rodovia,-5.0904118,-42.8280948
265,SC NA,Rodovia,40.88333,14.41667
266,RO NA,Rodovia,-32.9204349,-60.720591
267,CE 122,Rodovia,-3.7810904,-38.5016701
268,RN 122,Rodovia,-40.8198846,-63.0055436
269,PI 122,Rodovia,-22.8904137,-47.0752968
270,RJ 495,Rodovia,-22.8991805,-43.2817941
271,RO 421,Rodovia,-32.9330156,-60.7198869
272,PE NA,Rodovia,-23.9690975,-47.4960345
273,MS 359,Rodovia,-18.2283224,-53.2166627
274,GO 359,Rodovia,-17.5984846,-52.6183708
275,PB NA,Rodovia,-7.1992237,-37.9270203
276,PI NA,Rodovia,-5.0902277,-42.8129529
277,RO 425,Rodovia,-22.1069545,-41.4711713
278,GO NA,Rodovia,-18.0902981,-50.2121708
279,MA NA,Rodovia,-10.3333333,-53.2
280,MT NA,Rodovia,-7.5035083,-50.0416417
281,MG NA,Rodovia,-18.8941408,-48.2622678
282,BA 30,Rodovia,-20.3957147,-48.6669499
283,SP NA,Rodovia,-23.9690975,-47.4960345
284,CE NA,Rodovia,-3.0790323,-59.935488
285,DF NA,Rodovia,40.88333,14.41667
286,PB 412,Rodovia,-21.1867909,-47.8133902
287,MS 419,Rodovia,-19.0174387,-54.8477973
288,AM NA,Rodovia,-16.3469483,-48.8794688
289,PB 434,Rodovia,-6.4592994,-38.4412479
290,SP 158,Rodovia,-23.260267,-45.9511947
291,RN NA,Rodovia,-5.8193078,-35.2126281
292,RJ 485,Rodovia,-21.7827794,-41.3180541
293,AL 416,Rodovia,-9.9548148,-67.8278156
294,RR NA,Rodovia,-23.9690975,-47.4960345
295,PR NA,Rodovia,-26.7971326,-55.020802
296,MS 487,Rodovia,-23.0603365,-54.2086714
297,BA NA,Rodovia,-10.3333333,-53.2
298,GO 30,Rodovia,-16.2924588,-48.9277701
299,CE 403,Rodovia,-3.7307189,-38.5501695
300,BA 423,Rodovia,-18.0136383,-39.5043121
301,ES NA,Rodovia,42.0442141,3.19402
302,AC NA,Rodovia,-18.8889615,-48.2600868
303,PB 426,Rodovia,-7.4763913,-37.9854615
304,PE 363,Rodovia,-7.8958689,-34.8382841
