Id,Label,Type
449,Acidentes com Feridos (DF 70),Acidentes com Feridos
450,Acidentes Leves (DF 70),Acidentes Leves
451,PR 476,Rodovia
452,Total de Acidentes (PR 476),Total de Acidentes
453,Acidentes Graves (PR 476),Acidentes Graves
454,Acidentes com Feridos (PR 476),Acidentes com Feridos
455,Acidentes Leves (PR 476),Acidentes Leves
456,GO 40,Rodovia
457,Total de Acidentes (GO 40),Total de Acidentes
458,Acidentes Graves (GO 40),Acidentes Graves
459,Acidentes com Feridos (GO 40),Acidentes com Feridos
460,Acidentes Leves (GO 40),Acidentes Leves
461,MT 174,Rodovia
462,Total de Acidentes (MT 174),Total de Acidentes
463,Acidentes Graves (MT 174),Acidentes Graves
464,Acidentes com Feridos (MT 174),Acidentes com Feridos
465,Acidentes Leves (MT 174),Acidentes Leves
466,MT 70,Rodovia
467,Total de Acidentes (MT 70),Total de Acidentes
468,Acidentes Graves (MT 70),Acidentes Graves
469,Acidentes com Feridos (MT 70),Acidentes com Feridos
470,Acidentes Leves (MT 70),Acidentes Leves
471,MA 230,Rodovia
472,Total de Acidentes (MA 230),Total de Acidentes
473,Acidentes Graves (MA 230),Acidentes Graves
474,Acidentes com Feridos (MA 230),Acidentes com Feridos
475,Acidentes Leves (MA 230),Acidentes Leves
476,RJ 493,Rodovia
477,Total de Acidentes (RJ 493),Total de Acidentes
478,Acidentes Graves (RJ 493),Acidentes Graves
479,Acidentes com Feridos (RJ 493),Acidentes com Feridos
480,Acidentes Leves (RJ 493),Acidentes Leves
481,CE 222,Rodovia
482,Total de Acidentes (CE 222),Total de Acidentes
483,Acidentes Graves (CE 222),Acidentes Graves
484,Acidentes com Feridos (CE 222),Acidentes com Feridos
485,Acidentes Leves (CE 222),Acidentes Leves
486,MG 153,Rodovia
487,Total de Acidentes (MG 153),Total de Acidentes
488,Acidentes Graves (MG 153),Acidentes Graves
489,Acidentes com Feridos (MG 153),Acidentes com Feridos
490,Acidentes Leves (MG 153),Acidentes Leves
491,PE 316,Rodovia
492,Total de Acidentes (PE 316),Total de Acidentes
493,Acidentes Graves (PE 316),Acidentes Graves
494,Acidentes com Feridos (PE 316),Acidentes com Feridos
495,Acidentes Leves (PE 316),Acidentes Leves
496,RS 287,Rodovia
497,Total de Acidentes (RS 287),Total de Acidentes
498,Acidentes Graves (RS 287),Acidentes Graves
499,Acidentes com Feridos (RS 287),Acidentes com Feridos
500,Acidentes Leves (RS 287),Acidentes Leves
501,MG 50,Rodovia
502,Total de Acidentes (MG 50),Total de Acidentes
503,Acidentes Graves (MG 50),Acidentes Graves
504,Acidentes com Feridos (MG 50),Acidentes com Feridos
505,Acidentes Leves (MG 50),Acidentes Leves
506,RN 110,Rodovia
507,Total de Acidentes (RN 110),Total de Acidentes
508,Acidentes Graves (RN 110),Acidentes Graves
509,Acidentes com Feridos (RN 110),Acidentes com Feridos
510,Acidentes Leves (RN 110),Acidentes Leves
511,PI 135,Rodovia
512,Total de Acidentes (PI 135),Total de Acidentes
513,Acidentes Graves (PI 135),Acidentes Graves
514,Acidentes com Feridos (PI 135),Acidentes com Feridos
515,Acidentes Leves (PI 135),Acidentes Leves
516,GO 158,Rodovia
517,Total de Acidentes (GO 158),Total de Acidentes
518,Acidentes Graves (GO 158),Acidentes Graves
519,Acidentes com Feridos (GO 158),Acidentes com Feridos
520,Acidentes Leves (GO 158),Acidentes Leves
521,GO 20,Rodovia
522,Total de Acidentes (GO 20),Total de Acidentes
523,Acidentes Graves (GO 20),Acidentes Graves
524,Acidentes com Feridos (GO 20),Acidentes com Feridos
525,Acidentes Leves (GO 20),Acidentes Leves
526,BA 110,Rodovia
527,Total de Acidentes (BA 110),Total de Acidentes
528,Acidentes Graves (BA 110),Acidentes Graves
529,Acidentes com Feridos (BA 110),Acidentes com Feridos
530,Acidentes Leves (BA 110),Acidentes Leves
531,MA 222,Rodovia
532,Total de Acidentes (MA 222),Total de Acidentes
533,Acidentes Graves (MA 222),Acidentes Graves
534,Acidentes com Feridos (MA 222),Acidentes com Feridos
535,Acidentes Leves (MA 222),Acidentes Leves
536,MA 10,Rodovia
537,Total de Acidentes (MA 10),Total de Acidentes
538,Acidentes Graves (MA 10),Acidentes Graves
539,Acidentes com Feridos (MA 10),Acidentes com Feridos
540,Acidentes Leves (MA 10),Acidentes Leves
541,SP 153,Rodovia
542,Total de Acidentes (SP 153),Total de Acidentes
543,Acidentes Graves (SP 153),Acidentes Graves
544,Acidentes com Feridos (SP 153),Acidentes com Feridos
545,Acidentes Leves (SP 153),Acidentes Leves
546,RJ 393,Rodovia
547,Total de Acidentes (RJ 393),Total de Acidentes
548,Acidentes Graves (RJ 393),Acidentes Graves
549,Acidentes com Feridos (RJ 393),Acidentes com Feridos
550,Acidentes Leves (RJ 393),Acidentes Leves
551,RS NA,Rodovia
552,Total de Acidentes (RS NA),Total de Acidentes
553,Acidentes com Feridos (RS NA),Acidentes com Feridos
554,Acidentes Leves (RS NA),Acidentes Leves
555,MT 158,Rodovia
556,Total de Acidentes (MT 158),Total de Acidentes
557,Acidentes Graves (MT 158),Acidentes Graves
558,Acidentes com Feridos (MT 158),Acidentes com Feridos
559,Acidentes Leves (MT 158),Acidentes Leves
560,PI 235,Rodovia
561,Total de Acidentes (PI 235),Total de Acidentes
562,Acidentes Graves (PI 235),Acidentes Graves
563,Acidentes com Feridos (PI 235),Acidentes com Feridos
564,PB 104,Rodovia
565,Total de Acidentes (PB 104),Total de Acidentes
566,Acidentes Graves (PB 104),Acidentes Graves
567,Acidentes com Feridos (PB 104),Acidentes com Feridos
568,Acidentes Leves (PB 104),Acidentes Leves
569,MG 354,Rodovia
570,Total de Acidentes (MG 354),Total de Acidentes
571,Acidentes Graves (MG 354),Acidentes Graves
572,Acidentes com Feridos (MG 354),Acidentes com Feridos
573,Acidentes Leves (MG 354),Acidentes Leves
574,TO 10,Rodovia
575,Total de Acidentes (TO 10),Total de Acidentes
576,Acidentes Graves (TO 10),Acidentes Graves
577,Acidentes com Feridos (TO 10),Acidentes com Feridos
578,Acidentes Leves (TO 10),Acidentes Leves
579,DF 80,Rodovia
580,Total de Acidentes (DF 80),Total de Acidentes
581,Acidentes Graves (DF 80),Acidentes Graves
582,Acidentes com Feridos (DF 80),Acidentes com Feridos
583,Acidentes Leves (DF 80),Acidentes Leves
584,RS 468,Rodovia
585,Total de Acidentes (RS 468),Total de Acidentes
586,Acidentes Graves (RS 468),Acidentes Graves
